layer,window_id,origin,stratum,forecast_mse,pc1,pc2,pc3
layer0,4533,0,2,0.20642739534378052,-0.7542940550704172,-0.33839761491082687,0.4585759136518515
layer0,4722,0,2,0.15109118819236755,-0.7326430831664877,0.3758154860955509,0.27576518714500897
layer0,4826,0,2,0.1514299511909485,-0.6065290709034561,0.055097694176732506,-0.4047554062774936
layer0,4891,0,2,0.14905066788196564,-0.5058507492803823,0.1958379012152395,0.4452527481085584
layer0,4937,0,2,0.14661738276481628,-0.3252040805894048,0.5155261556416738,0.13584308799756137
layer0,4955,0,2,0.21851816773414612,-0.10090806450253649,-0.5682933182624261,-0.11627615490157889
layer0,5584,0,2,0.13760673999786377,0.8570207929744265,0.5277351046316511,-0.16655506807780265
layer0,5738,0,2,0.18650618195533752,1.0973993165725358,0.07112760088643809,-0.4377683238221411
layer0,5739,0,2,0.18271178007125854,1.119129784943277,0.3386166108685307,-0.3835922258970259
layer0,515,6,0,0.08810197561979294,-0.33517564382254694,0.3152223187348439,-0.09421125852624584
layer0,614,6,0,0.09313692897558212,-0.27781772043512115,0.11117514689835162,0.3231020772611653
layer0,732,6,0,0.05591462925076485,-0.3212755639755439,0.40426003613420036,0.01898672863031947
layer0,818,6,0,0.08699125796556473,-0.14654037999270747,0.14272856914227858,0.41351941854301116
layer0,974,6,0,0.07443465292453766,0.07625880098738744,0.14612443804805586,0.38763655004641845
layer0,1283,6,0,0.0852089375257492,0.2047922345874413,0.5328505553126357,-0.03536026326228728
layer0,1299,6,0,0.08592375367879868,0.26984775468299227,-0.1598217935441042,0.44039600638596327
layer0,1514,6,0,0.09030637890100479,0.14705423781041232,0.14183005613003816,0.5841234988593426
layer0,1629,6,0,0.07725700736045837,0.2535810558147402,0.16769788891714174,-0.507417368647512
layer0,1630,6,0,0.061657700687646866,0.24299499762444218,0.42930094198083224,-0.38484270857898606
layer0,1667,6,0,0.07794439792633057,0.3122608661343317,0.5196801902204976,-0.0846436322203767
layer0,3022,6,0,0.08445589989423752,-0.7969370158410429,-0.30448780634926664,-0.8561818502068186
layer0,3132,6,0,0.0741678923368454,-1.3022100739429625,0.5379559953022102,-0.49585801774422533
layer0,3237,6,0,0.058089807629585266,-1.2057638391359682,-0.45679964403527723,-0.45016711992148173
layer0,3240,6,0,0.05561278015375137,-1.2924091922976428,0.42880265519296934,-0.35499078151579727
layer0,3269,6,0,0.09461358934640884,-1.2025471148673494,-0.31052851748876703,0.5041829435479434
layer0,3515,6,0,0.06243618577718735,-0.7641379409792066,0.38139228197834285,-0.09367994585875211
layer0,3599,6,0,0.07831751555204391,-0.42265952216545777,0.3858720244581659,-0.022092414956347103
