window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
4554,0,6,1248.17626953125,5.556446075439453,25.24721908569336,1586.292236328125,3.013028437859333e-10,8.499454793309269e-07,4.913191560262931e-07
4555,0,6,934.734619140625,4.310198783874512,24.32882308959961,1372.74365234375,3.341594778660806e-10,8.83990139755042e-07,5.979057391414244e-07
4556,0,6,515.3311767578125,2.8825299739837646,25.15882110595703,1019.26806640625,2.568997514718063e-10,8.490643494951655e-07,7.060551752147148e-07
4557,0,6,491.1676025390625,2.5506210327148438,25.498838424682617,995.0847778320312,2.0371777875727304e-10,8.463408676107065e-07,6.44020360596187e-07
4558,0,6,236.85523986816406,1.711437463760376,24.337724685668945,691.0137939453125,2.1271530370459146e-10,9.156616442851373e-07,9.476716513745487e-07
4559,0,6,346.69390869140625,1.7365301847457886,24.884599685668945,836.0232543945312,2.485859296186277e-10,9.080402492145367e-07,8.467694101454981e-07
4560,0,6,280.0209655761719,1.770323634147644,24.179792404174805,751.3469848632812,2.3747237509752495e-10,9.069827342500503e-07,9.208973779095686e-07
4561,0,6,223.2904815673828,1.6276339292526245,24.143205642700195,670.9348754882812,2.049287128880195e-10,9.036212418322975e-07,9.580016921972856e-07
4562,0,6,164.313232421875,1.5639121532440186,25.789113998413086,575.5479736328125,2.141297000823883e-10,8.661640436002926e-07,1.1415691005822737e-06
4563,0,6,219.58526611328125,1.9942528009414673,26.85662841796875,665.3449096679688,2.8136781793364207e-10,8.444127388429479e-07,1.1319717714286526e-06
4564,0,6,244.80715942382812,2.0968596935272217,28.572917938232422,702.5177612304688,2.7634744492743835e-10,8.205144581552304e-07,1.062467504198139e-06
4565,0,6,235.55404663085938,2.400707244873047,28.734220504760742,689.1131591796875,8.387672778553679e-10,7.762707809888525e-07,1.8870154008254758e-06
4566,0,6,257.8171081542969,2.601555347442627,27.4283390045166,720.9432983398438,2.46409559423455e-10,8.182295232472825e-07,9.77626314124791e-07
4567,0,6,344.5959777832031,2.6083760261535645,27.05895233154297,833.4899291992188,2.4738536219537366e-10,8.159913136296382e-07,8.472895842714934e-07
4568,0,6,458.7834777832031,3.4021732807159424,27.110441207885742,961.7210693359375,2.5049465279813887e-10,7.84352835125901e-07,7.389164693449857e-07
4569,0,6,155.1758575439453,1.615994930267334,24.797636032104492,559.3161010742188,2.538598498080802e-10,9.400744716003828e-07,1.2790422942998703e-06
4570,0,6,106.09326171875,1.10244882106781,25.663066864013672,462.4759521484375,2.431926882096036e-10,8.831564173306106e-07,1.5140191180762486e-06
4571,0,6,219.33438110351562,1.6109089851379395,27.677841186523438,664.9647827148438,2.948516431011683e-10,8.372724096261663e-07,1.1594403304115986e-06
4572,0,6,109.50761413574219,1.2927578687667847,27.538270950317383,469.85888671875,2.799883103143941e-10,8.386944614358072e-07,1.598997414475889e-06
4573,0,6,147.0215606689453,1.4220396280288696,28.271738052368164,544.4220581054688,2.0821630530853952e-10,8.177911468010279e-07,1.190054490507464e-06
4574,0,6,220.51194763183594,1.7688193321228027,31.910432815551758,666.7473754882812,2.1708425335109638e-10,7.240246304718312e-07,9.921974424287328e-07
4575,0,6,346.64434814453125,2.3240809440612793,34.889923095703125,835.9634399414062,9.283780411095677e-10,6.953148954380595e-07,1.6365165720344521e-06
4576,0,6,569.0225219726562,2.39941668510437,38.46622085571289,1071.050537109375,2.2382136422027799e-10,6.267397338888259e-07,6.271711754379794e-07
4577,0,6,651.9298095703125,2.6097347736358643,40.10190200805664,1146.425048828125,2.435949220114253e-10,5.911629159527365e-07,6.112708774708153e-07
4578,0,6,371.3362731933594,2.9275400638580322,38.05123519897461,865.2247314453125,4.422555655025917e-10,6.118102646723855e-07,1.0913220194197493e-06
4579,0,6,215.0037384033203,2.3844594955444336,36.5872802734375,658.3672485351562,3.8794364942695836e-10,6.6355079297864e-07,1.3432639889288112e-06
4580,0,6,182.9556121826172,2.4116322994232178,35.45796203613281,607.3207397460938,2.0921479826352396e-10,6.721648446728068e-07,1.069358518179797e-06
